network_type,num_agents,signal_accuracy,seed,final_accuracy,learning_rate,asymptotic_accuracy,time_to_0.6,time_to_0.7,time_to_0.8,time_to_0.9,time_to_1.0
complete,3,0.7,0,0.6666666666666666,0.0011762560552216186,1.4812573233368589,1,3,3,3,3
complete,3,0.7,1,0.3333333333333333,0.001522933811994229,1.4798085752094745,1,8,8,8,8
complete,3,0.9,0,1.0,0.9999999677733098,0.7734864337479611,1,3,3,3,3
complete,3,0.9,1,0.3333333333333333,0.9999999995351684,0.671153100405284,1,8,8,8,8
complete,10,0.7,0,0.6,0.0010000000002748789,1.090161941268013,1,10,12,12,38
complete,10,0.7,1,0.6,0.0010000000000000033,1.0391619399619798,1,8,8,3,31
complete,10,0.9,0,1.0,0.89411986840751,0.8636195400304137,1,10,12,12,2
complete,10,0.9,1,1.0,0.9173236889880515,0.8692552031668184,1,8,8,1,10
line,3,0.7,0,0.6666666666666666,0.0012981316318659388,1.5052759588363402,1,3,3,3,3
line,3,0.7,1,0.0,0.002515885559468235,1.4614777880422074,1,8,8,8,8
line,3,0.9,0,1.0,0.9999999999964995,0.7891531004020256,1,3,3,3,3
line,3,0.9,1,0.3333333333333333,0.9999999873017236,0.7318197671157282,1,8,8,8,8
line,10,0.7,0,0.4,0.0010000000000002299,1.1500970959830887,1,1,47,1,8
line,10,0.7,1,0.9,0.0016064319459554522,1.0389608068220375,2,6,13,2,13
line,10,0.9,0,1.0,0.9999999985704477,0.8443197670714997,1,1,47,2,23
line,10,0.9,1,0.8,0.9999999979672651,0.8257197671519909,2,6,13,2,11
star,3,0.7,0,0.6666666666666666,0.0012038074472026587,1.4825822859262907,1,3,3,3,3
star,3,0.7,1,0.0,0.00461599191355726,0.9547980073253406,1,8,8,8,8
star,3,0.9,0,1.0,0.9999999712493423,0.7611531004431034,1,3,3,3,3
star,3,0.9,1,0.3333333333333333,0.0060874449391689275,1.1000000000000072,1,8,8,8,8
star,10,0.7,0,0.2,0.001000000000000346,1.0823619373373121,1,10,12,12,39
star,10,0.7,1,0.8,0.0010000000708766576,1.1407278582740363,1,8,8,2,31
star,10,0.9,0,0.8,0.9999999189933373,0.8314197671887216,1,10,12,12,14
star,10,0.9,1,1.0,0.9999999999865656,0.82441976706874,1,8,8,1,10
